"Date","Price","Open","High","Low","Vol.","Change %"
"06/16/2023","3.120","3.160","3.180","3.110","2.22M","-1.27%"
"06/15/2023","3.160","3.160","3.200","3.150","894.02K","-1.25%"
"06/14/2023","3.200","3.150","3.240","3.150","5.67M","1.27%"
"06/13/2023","3.160","3.040","3.190","3.020","6.24M","3.95%"
"06/12/2023","3.040","3.030","3.070","3.000","1.38M","0.33%"
"06/09/2023","3.030","3.000","3.090","2.990","1.92M","1.34%"
"06/08/2023","2.990","2.980","3.030","2.980","1.10M","0.00%"
"06/07/2023","2.990","2.990","3.020","2.990","471.96K","0.00%"
"06/06/2023","2.990","2.950","3.040","2.940","305.64K","-0.33%"
"06/05/2023","3.000","2.980","3.040","2.940","991.90K","1.01%"
"06/02/2023","2.970","3.000","3.000","2.940","734.74K","-1.00%"
"06/01/2023","3.000","3.000","3.040","2.930","3.24M","0.00%"
"05/31/2023","3.000","3.130","3.130","2.970","6.53M","-3.23%"
"05/30/2023","3.100","3.100","3.140","3.050","1.33M","0.00%"
"05/29/2023","3.100","3.100","3.130","3.080","870.31K","-0.32%"
"05/26/2023","3.110","3.120","3.130","3.090","556.36K","0.00%"
"05/25/2023","3.110","3.110","3.150","3.090","589.19K","0.00%"
"05/24/2023","3.110","3.130","3.140","3.100","979.87K","0.00%"
"05/23/2023","3.110","3.150","3.170","3.100","1.70M","0.00%"
"05/22/2023","3.110","3.130","3.170","3.100","1.82M","0.00%"
"05/19/2023","3.110","3.010","3.130","3.010","824.93K","0.00%"
"05/18/2023","3.110","3.110","3.140","3.110","658.19K","-0.64%"
"05/17/2023","3.130","3.180","3.180","3.120","593.90K","-1.26%"
"05/16/2023","3.170","3.140","3.180","3.100","4.55M","1.60%"
"05/15/2023","3.120","3.150","3.190","3.120","1.70M","0.32%"
"05/12/2023","3.110","3.150","3.150","3.100","411.45K","-1.58%"
"05/11/2023","3.160","3.170","3.200","3.100","1.06M","-0.63%"
"05/10/2023","3.180","3.150","3.190","3.140","912.53K","0.95%"
"05/09/2023","3.150","3.180","3.180","3.120","722.90K","-0.94%"
"05/08/2023","3.180","3.160","3.180","3.160","298.89K","0.00%"
"05/05/2023","3.180","3.190","3.200","3.170","912.99K","-0.62%"
"05/04/2023","3.200","3.200","3.210","3.170","1.56M","0.00%"
"05/03/2023","3.200","3.200","3.220","3.170","1.27M","-0.31%"
"05/02/2023","3.210","3.210","3.230","3.190","2.00M","0.00%"
"05/01/2023","3.210","3.270","3.290","3.210","2.34M","-1.23%"
"04/28/2023","3.250","3.250","3.300","3.230","8.83M","0.00%"
"04/27/2023","3.250","3.200","3.270","3.180","5.95M","0.93%"
"04/26/2023","3.220","3.190","3.220","3.160","565.88K","0.62%"
"04/25/2023","3.200","3.190","3.240","3.180","1.34M","-0.31%"
"04/24/2023","3.210","3.170","3.250","3.170","653.75K","0.94%"
"04/19/2023","3.180","3.170","3.200","3.170","243.43K","0.00%"
"04/18/2023","3.180","3.180","3.230","3.160","677.50K","0.95%"
"04/17/2023","3.150","3.200","3.200","3.120","1.32M","-0.94%"
"04/14/2023","3.180","3.250","3.250","3.170","1.12M","-1.55%"
"04/13/2023","3.230","3.230","3.250","3.190","1.68M","0.00%"
"04/12/2023","3.230","3.290","3.300","3.210","1.73M","-0.92%"
"04/11/2023","3.260","3.270","3.270","3.230","667.76K","-0.31%"
"04/10/2023","3.270","3.250","3.270","3.240","148.70K","0.31%"
"04/07/2023","3.260","3.340","3.340","3.220","774.23K","-0.61%"
"04/06/2023","3.280","3.280","3.300","3.270","2.02M","-0.30%"
"04/05/2023","3.290","3.300","3.340","3.260","1.23M","-1.50%"
"04/04/2023","3.340","3.360","3.390","3.340","828.47K","-0.30%"
"04/03/2023","3.350","3.400","3.450","3.350","3.01M","-4.01%"
"03/31/2023","3.490","3.390","3.490","3.340","16.20M","2.95%"
"03/30/2023","3.390","3.300","3.390","3.270","5.02M","3.35%"
"03/29/2023","3.280","3.270","3.310","3.250","1.79M","-0.30%"
"03/28/2023","3.290","3.250","3.310","3.230","4.70M","1.23%"
"03/27/2023","3.250","3.240","3.300","3.210","3.66M","-0.31%"
"03/24/2023","3.260","3.270","3.290","3.230","956.67K","-0.31%"
"03/23/2023","3.270","3.260","3.280","3.260","1.10M","0.00%"
"03/22/2023","3.270","3.260","3.310","3.250","6.05M","1.55%"
"03/21/2023","3.220","3.220","3.300","3.210","5.38M","-0.62%"
"03/20/2023","3.240","3.290","3.290","3.220","4.92M","-1.82%"
